omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.061605,259.717429
12,float,2000,2000,2000,0.014313,1117.871048
12,float,2000,2000,2000,0.014116,1133.465250
12,float,2000,2000,2000,0.014207,1126.214032
12,float,2000,2000,2000,0.013376,1196.158477
12,float,2000,2000,2000,0.013366,1197.025452
12,float,2000,2000,2000,0.014870,1075.980714
12,float,2500,2500,2500,0.024111,1296.110263
12,float,2500,2500,2500,0.024615,1269.558462
12,float,2500,2500,2500,0.024559,1272.471438
12,float,2500,2500,2500,0.024112,1296.028665
12,float,2500,2500,2500,0.024139,1294.583219
12,float,2500,2500,2500,0.023958,1304.358461
12,float,2500,2500,2500,0.024601,1270.258437
12,float,3000,3000,3000,0.039712,1359.782000
12,float,3000,3000,3000,0.038880,1388.875957
12,float,3000,3000,3000,0.038051,1419.156676
12,float,3000,3000,3000,0.038701,1395.297568
12,float,3000,3000,3000,0.039633,1362.513907
12,float,3000,3000,3000,0.038684,1395.928779
12,float,3000,3000,3000,0.039162,1378.878015
12,float,3500,3500,3500,0.059136,1450.039306
12,float,3500,3500,3500,0.059570,1439.479699
12,float,3500,3500,3500,0.059122,1450.384854
12,float,3500,3500,3500,0.060257,1423.066857
12,float,3500,3500,3500,0.059199,1448.515722
12,float,3500,3500,3500,0.059015,1453.010595
12,float,3500,3500,3500,0.059179,1448.985504
12,float,4000,4000,4000,0.084018,1523.482410
12,float,4000,4000,4000,0.087951,1455.359464
12,float,4000,4000,4000,0.084826,1508.979578
12,float,4000,4000,4000,0.086297,1483.250601
12,float,4000,4000,4000,0.085108,1503.963472
12,float,4000,4000,4000,0.085873,1490.577211
12,float,4000,4000,4000,0.085202,1502.307991
12,float,4500,4500,4500,0.123230,1478.937232
12,float,4500,4500,4500,0.124644,1462.168948
12,float,4500,4500,4500,0.123674,1473.628264
12,float,4500,4500,4500,0.125449,1452.776721
12,float,4500,4500,4500,0.123745,1472.786970
12,float,4500,4500,4500,0.123552,1475.092905
12,float,4500,4500,4500,0.122949,1482.318864
12,float,5000,5000,5000,0.182320,1371.217589
12,float,5000,5000,5000,0.176439,1416.918440
12,float,5000,5000,5000,0.174541,1432.330248
12,float,5000,5000,5000,0.179917,1389.529192
12,float,5000,5000,5000,0.180868,1382.226137
12,float,5000,5000,5000,0.176306,1417.988229
12,float,5000,5000,5000,0.177561,1407.963343
12,float,5500,5500,5500,0.213554,1558.157310
12,float,5500,5500,5500,0.214255,1553.055351
12,float,5500,5500,5500,0.213725,1556.904727
12,float,5500,5500,5500,0.214012,1554.819915
12,float,5500,5500,5500,0.214702,1549.825360
12,float,5500,5500,5500,0.217756,1528.089268
12,float,5500,5500,5500,0.214615,1550.451335
12,float,6000,6000,6000,0.277250,1558.158021
12,float,6000,6000,6000,0.277638,1555.982035
12,float,6000,6000,6000,0.278625,1550.469539
12,float,6000,6000,6000,0.278620,1550.496812
12,float,6000,6000,6000,0.278646,1550.352483
12,float,6000,6000,6000,0.278219,1552.733320
12,float,6000,6000,6000,0.278408,1551.679689
12,float,6500,6500,6500,0.344485,1594.407148
12,float,6500,6500,6500,0.347259,1581.673904
12,float,6500,6500,6500,0.346740,1584.039503
12,float,6500,6500,6500,0.346710,1584.175790
12,float,6500,6500,6500,0.345729,1588.671538
12,float,6500,6500,6500,0.346185,1586.578371
12,float,6500,6500,6500,0.345625,1589.150481
12,float,7000,7000,7000,0.432168,1587.343954
12,float,7000,7000,7000,0.430610,1593.090187
12,float,7000,7000,7000,0.432558,1585.914039
12,float,7000,7000,7000,0.433335,1583.069106
12,float,7000,7000,7000,0.430908,1591.987230
12,float,7000,7000,7000,0.431431,1590.056862
12,float,7000,7000,7000,0.431679,1589.144415
12,float,7500,7500,7500,0.527808,1598.591980
12,float,7500,7500,7500,0.526543,1602.434340
12,float,7500,7500,7500,0.526331,1603.079000
12,float,7500,7500,7500,0.527126,1600.662297
12,float,7500,7500,7500,0.526805,1601.637021
12,float,7500,7500,7500,0.526669,1602.050810
12,float,7500,7500,7500,0.531557,1587.318157
12,float,8000,8000,8000,0.628352,1629.659933
12,float,8000,8000,8000,0.628033,1630.487778
12,float,8000,8000,8000,0.628693,1628.775145
12,float,8000,8000,8000,0.628941,1628.132709
12,float,8000,8000,8000,0.628132,1630.229584
12,float,8000,8000,8000,0.628242,1629.945911
12,float,8000,8000,8000,0.628700,1628.757674
12,float,8500,8500,8500,0.767584,1600.149785
12,float,8500,8500,8500,0.763599,1608.500567
12,float,8500,8500,8500,0.757673,1621.081193
12,float,8500,8500,8500,0.758338,1619.660790
12,float,8500,8500,8500,0.757958,1620.473411
12,float,8500,8500,8500,0.760661,1614.714983
12,float,8500,8500,8500,0.757757,1620.901916
12,float,9000,9000,9000,0.899010,1621.784596
12,float,9000,9000,9000,0.889414,1639.281500
12,float,9000,9000,9000,0.889297,1639.497918
12,float,9000,9000,9000,0.889024,1640.000974
12,float,9000,9000,9000,0.894961,1629.120443
12,float,9000,9000,9000,0.888898,1640.233900
12,float,9000,9000,9000,0.887617,1642.601065
12,float,9500,9500,9500,1.072316,1599.108711
12,float,9500,9500,9500,1.071618,1600.149976
12,float,9500,9500,9500,1.074755,1595.479332
12,float,9500,9500,9500,1.071975,1599.618242
12,float,9500,9500,9500,1.080457,1587.060181
12,float,9500,9500,9500,1.077812,1590.954586
12,float,9500,9500,9500,1.080250,1587.363570
12,float,10000,10000,10000,1.265089,1580.916970
12,float,10000,10000,10000,1.264958,1581.080152
12,float,10000,10000,10000,1.264059,1582.205087
12,float,10000,10000,10000,1.268442,1576.737075
12,float,10000,10000,10000,1.271940,1572.401392
12,float,10000,10000,10000,1.263461,1582.953286
12,float,10000,10000,10000,1.265860,1579.953240
12,float,10500,10500,10500,1.446739,1600.323533
12,float,10500,10500,10500,1.434871,1613.559172
12,float,10500,10500,10500,1.445482,1601.714712
12,float,10500,10500,10500,1.446934,1600.107343
12,float,10500,10500,10500,1.449099,1597.716502
12,float,10500,10500,10500,1.444916,1602.342474
12,float,10500,10500,10500,1.445661,1601.516581
12,float,11000,11000,11000,1.655195,1608.270144
12,float,11000,11000,11000,1.655704,1607.775104
12,float,11000,11000,11000,1.655075,1608.386448
12,float,11000,11000,11000,1.656070,1607.419639
12,float,11000,11000,11000,1.658502,1605.062733
12,float,11000,11000,11000,1.657060,1606.459255
12,float,11000,11000,11000,1.670224,1593.798329
12,float,11500,11500,11500,1.857752,1637.328715
12,float,11500,11500,11500,1.856597,1638.346856
12,float,11500,11500,11500,1.859129,1636.115594
12,float,11500,11500,11500,1.861274,1634.230374
12,float,11500,11500,11500,1.875433,1621.891827
12,float,11500,11500,11500,1.887324,1611.673605
12,float,11500,11500,11500,1.861450,1634.075405
12,float,12000,12000,12000,2.144056,1611.898509
12,float,12000,12000,12000,2.136383,1617.687553
12,float,12000,12000,12000,2.137187,1617.078919
12,float,12000,12000,12000,2.138227,1616.292029
12,float,12000,12000,12000,2.136090,1617.909314
12,float,12000,12000,12000,2.137690,1616.698333
12,float,12000,12000,12000,2.135467,1618.381633
12,float,12500,12500,12500,2.420842,1613.591346
12,float,12500,12500,12500,2.417893,1615.559397
12,float,12500,12500,12500,2.420981,1613.498780
12,float,12500,12500,12500,2.420318,1613.940805
12,float,12500,12500,12500,2.419698,1614.354299
12,float,12500,12500,12500,2.406665,1623.096625
12,float,12500,12500,12500,2.420071,1614.105452
12,float,13000,13000,13000,2.684251,1636.955436
12,float,13000,13000,13000,2.695813,1629.934908
12,float,13000,13000,13000,2.684961,1636.522583
12,float,13000,13000,13000,2.706028,1623.782448
12,float,13000,13000,13000,2.700338,1627.203431
12,float,13000,13000,13000,2.706930,1623.241325
12,float,13000,13000,13000,2.686673,1635.479745
12,float,13500,13500,13500,3.048264,1614.279560
12,float,13500,13500,13500,3.022018,1628.299231
12,float,13500,13500,13500,3.049045,1613.865798
12,float,13500,13500,13500,3.066842,1604.500550
12,float,13500,13500,13500,3.052609,1611.981663
12,float,13500,13500,13500,3.022480,1628.050483
12,float,13500,13500,13500,3.022802,1627.876966
12,float,14000,14000,14000,3.373700,1626.700573
12,float,14000,14000,14000,3.354368,1636.075561
12,float,14000,14000,14000,3.366449,1630.204371
12,float,14000,14000,14000,3.383142,1622.160726
12,float,14000,14000,14000,3.348036,1639.169980
12,float,14000,14000,14000,3.349631,1638.389578
12,float,14000,14000,14000,3.365489,1630.669576
12,float,14500,14500,14500,3.735368,1632.302229
12,float,14500,14500,14500,3.747049,1627.214028
12,float,14500,14500,14500,3.733739,1633.014420
12,float,14500,14500,14500,3.735776,1632.123978
12,float,14500,14500,14500,3.734127,1632.844895
12,float,14500,14500,14500,3.733371,1633.175536
12,float,14500,14500,14500,3.749251,1626.258060
12,float,15000,15000,15000,4.138757,1630.924287
12,float,15000,15000,15000,4.148689,1627.019931
12,float,15000,15000,15000,4.151490,1625.922136
12,float,15000,15000,15000,4.140220,1630.348084
12,float,15000,15000,15000,4.146331,1627.945441
12,float,15000,15000,15000,4.141442,1629.867212
12,float,15000,15000,15000,4.142236,1629.554615
12,float,15500,15500,15500,4.554214,1635.353390
12,float,15500,15500,15500,4.525712,1645.652484
12,float,15500,15500,15500,4.554746,1635.162545
12,float,15500,15500,15500,4.521048,1647.350343
12,float,15500,15500,15500,4.553032,1635.777969
12,float,15500,15500,15500,4.520066,1647.708177
12,float,15500,15500,15500,4.556342,1634.589847
12,float,16000,16000,16000,5.012382,1634.352737
12,float,16000,16000,16000,5.009936,1635.150488
12,float,16000,16000,16000,5.009335,1635.346957
12,float,16000,16000,16000,5.011434,1634.661939
12,float,16000,16000,16000,5.051571,1621.673618
12,float,16000,16000,16000,5.010020,1635.123165
12,float,16000,16000,16000,5.009191,1635.393920
12,float,16500,16500,16500,5.521036,1627.276182
12,float,16500,16500,16500,5.539924,1621.728120
12,float,16500,16500,16500,5.539083,1621.974363
12,float,16500,16500,16500,5.517192,1628.409791
12,float,16500,16500,16500,5.532067,1624.031237
12,float,16500,16500,16500,5.538884,1622.032640
12,float,16500,16500,16500,5.507526,1631.267885
12,float,17000,17000,17000,6.100319,1610.735335
12,float,17000,17000,17000,6.101236,1610.493350
12,float,17000,17000,17000,6.068600,1619.154305
12,float,17000,17000,17000,6.018245,1632.701899
12,float,17000,17000,17000,6.044557,1625.594727
12,float,17000,17000,17000,6.020153,1632.184318
12,float,17000,17000,17000,6.056838,1622.298607
12,float,17500,17500,17500,6.617265,1619.815803
12,float,17500,17500,17500,6.667249,1607.671968
12,float,17500,17500,17500,6.620435,1619.040104
12,float,17500,17500,17500,6.619360,1619.303069
12,float,17500,17500,17500,6.667086,1607.711343
12,float,17500,17500,17500,6.617832,1619.677010
12,float,17500,17500,17500,6.644905,1613.077993
12,float,18000,18000,18000,7.172011,1626.322087
12,float,18000,18000,18000,7.184182,1623.566867
12,float,18000,18000,18000,7.181204,1624.240273
12,float,18000,18000,18000,7.175566,1625.516324
12,float,18000,18000,18000,7.183317,1623.762386
12,float,18000,18000,18000,7.239572,1611.145024
12,float,18000,18000,18000,7.181034,1624.278638
12,float,18500,18500,18500,7.783841,1626.864001
12,float,18500,18500,18500,7.723597,1639.553528
12,float,18500,18500,18500,7.728538,1638.505137
12,float,18500,18500,18500,7.726135,1639.014804
12,float,18500,18500,18500,7.735442,1637.042878
12,float,18500,18500,18500,7.725852,1639.074783
12,float,18500,18500,18500,7.732360,1637.695434
12,float,19000,19000,19000,8.341403,1644.567371
12,float,19000,19000,19000,8.356113,1641.672445
12,float,19000,19000,19000,8.361372,1640.639781
12,float,19000,19000,19000,8.353429,1642.199903
12,float,19000,19000,19000,8.344910,1643.876368
12,float,19000,19000,19000,8.350242,1642.826662
12,float,19000,19000,19000,8.356942,1641.509558
12,float,19500,19500,19500,9.067520,1635.480303
12,float,19500,19500,19500,9.066175,1635.722922
12,float,19500,19500,19500,9.069617,1635.102137
12,float,19500,19500,19500,9.065996,1635.755249
12,float,19500,19500,19500,9.061028,1636.652035
12,float,19500,19500,19500,9.065180,1635.902513
12,float,19500,19500,19500,9.066463,1635.670879
12,float,20000,20000,20000,9.863275,1622.179183
12,float,20000,20000,20000,9.864398,1621.994631
12,float,20000,20000,20000,9.866170,1621.703317
12,float,20000,20000,20000,9.859828,1622.746408
12,float,20000,20000,20000,9.867673,1621.456185
12,float,20000,20000,20000,9.877515,1619.840602
12,float,20000,20000,20000,9.878834,1619.624373
