omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.027432,583.253750
12,double,2000,2000,2000,0.027016,592.237952
12,double,2000,2000,2000,0.027147,589.374651
12,double,2000,2000,2000,0.027373,584.518402
12,double,2000,2000,2000,0.027679,578.057487
12,double,2000,2000,2000,0.027896,573.555911
12,double,2000,2000,2000,0.027297,586.138620
12,double,2500,2500,2500,0.048474,644.679752
12,double,2500,2500,2500,0.047165,662.572794
12,double,2500,2500,2500,0.047559,657.075316
12,double,2500,2500,2500,0.048077,650.000231
12,double,2500,2500,2500,0.047572,656.894128
12,double,2500,2500,2500,0.047675,655.484335
12,double,2500,2500,2500,0.047416,659.059871
12,double,3000,3000,3000,0.077123,700.180350
12,double,3000,3000,3000,0.076621,704.764578
12,double,3000,3000,3000,0.077818,693.922432
12,double,3000,3000,3000,0.076789,703.227627
12,double,3000,3000,3000,0.077005,701.256189
12,double,3000,3000,3000,0.077204,699.447029
12,double,3000,3000,3000,0.076848,702.685739
12,double,3500,3500,3500,0.116379,736.816900
12,double,3500,3500,3500,0.116596,735.442657
12,double,3500,3500,3500,0.116227,737.782625
12,double,3500,3500,3500,0.116323,737.171560
12,double,3500,3500,3500,0.116041,738.962583
12,double,3500,3500,3500,0.116277,737.463615
12,double,3500,3500,3500,0.117024,732.757834
12,double,4000,4000,4000,0.165321,774.253103
12,double,4000,4000,4000,0.165625,772.829185
12,double,4000,4000,4000,0.165614,772.879765
12,double,4000,4000,4000,0.165523,773.307840
12,double,4000,4000,4000,0.165646,772.733052
12,double,4000,4000,4000,0.165958,771.279601
12,double,4000,4000,4000,0.165303,774.337577
12,double,4500,4500,4500,0.231095,788.637831
12,double,4500,4500,4500,0.230441,790.875118
12,double,4500,4500,4500,0.230818,789.583183
12,double,4500,4500,4500,0.230947,789.143249
12,double,4500,4500,4500,0.230869,789.407245
12,double,4500,4500,4500,0.230688,790.028080
12,double,4500,4500,4500,0.232020,785.493530
12,double,5000,5000,5000,0.319394,782.732628
12,double,5000,5000,5000,0.319065,783.538888
12,double,5000,5000,5000,0.319194,783.223383
12,double,5000,5000,5000,0.318778,784.244515
12,double,5000,5000,5000,0.318602,784.677902
12,double,5000,5000,5000,0.318741,784.335711
12,double,5000,5000,5000,0.318832,784.112764
