omp_threads,type,n,m,k,time,GFlops
12,double,2000,2000,2000,0.024331,657.599466
12,double,2000,2000,2000,0.024573,651.126078
12,double,2000,2000,2000,0.025730,621.853470
12,double,2000,2000,2000,0.024190,661.435265
12,double,2000,2000,2000,0.025271,633.139353
12,double,2000,2000,2000,0.024915,642.196002
12,double,2000,2000,2000,0.023799,672.309133
12,double,2500,2500,2500,0.045261,690.442517
12,double,2500,2500,2500,0.045040,693.834348
12,double,2500,2500,2500,0.045445,687.644163
12,double,2500,2500,2500,0.045120,692.598654
12,double,2500,2500,2500,0.045136,692.353705
12,double,2500,2500,2500,0.045165,691.914406
12,double,2500,2500,2500,0.045065,693.440189
12,double,3000,3000,3000,0.073914,730.574659
12,double,3000,3000,3000,0.073662,733.080791
12,double,3000,3000,3000,0.074139,728.364430
12,double,3000,3000,3000,0.074063,729.104867
12,double,3000,3000,3000,0.073836,731.348916
12,double,3000,3000,3000,0.074000,729.724898
12,double,3000,3000,3000,0.074029,729.440891
12,double,3500,3500,3500,0.114984,745.756839
12,double,3500,3500,3500,0.115125,744.840440
12,double,3500,3500,3500,0.114749,747.282751
12,double,3500,3500,3500,0.114341,749.950073
12,double,3500,3500,3500,0.115010,745.587107
12,double,3500,3500,3500,0.115015,745.553722
12,double,3500,3500,3500,0.114134,751.310726
12,double,4000,4000,4000,0.163879,781.062567
12,double,4000,4000,4000,0.169249,756.281266
12,double,4000,4000,4000,0.163967,780.642896
12,double,4000,4000,4000,0.166641,768.120199
12,double,4000,4000,4000,0.163557,782.600942
12,double,4000,4000,4000,0.165015,775.684925
12,double,4000,4000,4000,0.167432,764.489222
12,double,4500,4500,4500,0.235014,775.485326
12,double,4500,4500,4500,0.239081,762.292959
12,double,4500,4500,4500,0.241042,756.093027
12,double,4500,4500,4500,0.239310,761.565583
12,double,4500,4500,4500,0.235364,774.332872
12,double,4500,4500,4500,0.236838,769.511850
12,double,4500,4500,4500,0.236385,770.988989
12,double,5000,5000,5000,0.327436,763.506925
12,double,5000,5000,5000,0.326769,765.065716
12,double,5000,5000,5000,0.327924,762.372687
12,double,5000,5000,5000,0.326854,764.866357
12,double,5000,5000,5000,0.326979,764.574022
12,double,5000,5000,5000,0.326843,764.894320
12,double,5000,5000,5000,0.326730,765.157747
12,double,5500,5500,5500,0.433027,768.427778
12,double,5500,5500,5500,0.422890,786.847443
12,double,5500,5500,5500,0.435050,764.854618
12,double,5500,5500,5500,0.423616,785.499649
12,double,5500,5500,5500,0.425843,781.392158
12,double,5500,5500,5500,0.425733,781.593784
12,double,5500,5500,5500,0.425608,781.823101
12,double,6000,6000,6000,0.555458,777.736394
12,double,6000,6000,6000,0.543906,794.255123
12,double,6000,6000,6000,0.545872,791.393731
12,double,6000,6000,6000,0.543494,794.856934
12,double,6000,6000,6000,0.542740,795.961860
12,double,6000,6000,6000,0.542478,796.345359
12,double,6000,6000,6000,0.542453,796.381662
12,double,6500,6500,6500,0.686071,800.572690
12,double,6500,6500,6500,0.686298,800.308054
12,double,6500,6500,6500,0.684779,802.083819
12,double,6500,6500,6500,0.692420,793.232673
12,double,6500,6500,6500,0.685911,800.759780
12,double,6500,6500,6500,0.685887,800.787766
12,double,6500,6500,6500,0.684816,802.040142
12,double,7000,7000,7000,0.878408,780.958643
12,double,7000,7000,7000,0.871625,787.035955
12,double,7000,7000,7000,0.876233,782.897060
12,double,7000,7000,7000,0.871725,786.945727
12,double,7000,7000,7000,0.873854,785.028156
12,double,7000,7000,7000,0.872085,786.620391
12,double,7000,7000,7000,0.872971,785.821939
12,double,7500,7500,7500,1.060129,795.894013
12,double,7500,7500,7500,1.060488,795.624312
12,double,7500,7500,7500,1.060800,795.389994
12,double,7500,7500,7500,1.059690,796.223333
12,double,7500,7500,7500,1.060248,795.804532
12,double,7500,7500,7500,1.061211,795.082579
12,double,7500,7500,7500,1.060021,795.974992
12,double,8000,8000,8000,1.274267,803.599210
12,double,8000,8000,8000,1.274657,803.353060
12,double,8000,8000,8000,1.274575,803.405056
12,double,8000,8000,8000,1.274047,803.737887
12,double,8000,8000,8000,1.274347,803.549066
12,double,8000,8000,8000,1.274253,803.607798
12,double,8000,8000,8000,1.273458,804.109865
12,double,8500,8500,8500,1.534193,800.583627
12,double,8500,8500,8500,1.535766,799.763783
12,double,8500,8500,8500,1.534952,800.187976
12,double,8500,8500,8500,1.534361,800.496251
12,double,8500,8500,8500,1.533428,800.983195
12,double,8500,8500,8500,1.535552,799.875265
12,double,8500,8500,8500,1.533343,801.027550
12,double,9000,9000,9000,1.803397,808.474112
12,double,9000,9000,9000,1.805806,807.395574
12,double,9000,9000,9000,1.804635,807.919397
12,double,9000,9000,9000,1.816294,802.733502
12,double,9000,9000,9000,1.804546,807.959641
12,double,9000,9000,9000,1.813562,803.942714
12,double,9000,9000,9000,1.809003,805.968806
12,double,9500,9500,9500,2.137349,802.278886
12,double,9500,9500,9500,2.132617,804.059131
12,double,9500,9500,9500,2.132615,804.059735
12,double,9500,9500,9500,2.133946,803.558364
12,double,9500,9500,9500,2.133250,803.820642
12,double,9500,9500,9500,2.136620,802.552471
12,double,9500,9500,9500,2.136191,802.713690
12,double,10000,10000,10000,2.488310,803.758453
12,double,10000,10000,10000,2.484417,805.017817
12,double,10000,10000,10000,2.492143,802.522138
12,double,10000,10000,10000,2.488296,803.762917
12,double,10000,10000,10000,2.491300,802.793767
12,double,10000,10000,10000,2.490177,803.155657
12,double,10000,10000,10000,2.489085,803.508075
12,double,10500,10500,10500,2.882886,803.101385
12,double,10500,10500,10500,2.881317,803.538902
12,double,10500,10500,10500,2.882778,803.131571
12,double,10500,10500,10500,2.890506,800.984245
12,double,10500,10500,10500,2.883354,802.971146
12,double,10500,10500,10500,2.882654,803.166121
12,double,10500,10500,10500,2.881742,803.420375
12,double,11000,11000,11000,3.308627,804.563310
12,double,11000,11000,11000,3.299404,806.812299
12,double,11000,11000,11000,3.297758,807.215182
12,double,11000,11000,11000,3.301148,806.386178
12,double,11000,11000,11000,3.302580,806.036488
12,double,11000,11000,11000,3.303148,805.897781
12,double,11000,11000,11000,3.303053,805.921180
12,double,11500,11500,11500,3.759845,809.009321
12,double,11500,11500,11500,3.747230,811.733002
12,double,11500,11500,11500,3.744848,812.249339
12,double,11500,11500,11500,3.762441,808.451221
12,double,11500,11500,11500,3.746094,811.979113
12,double,11500,11500,11500,3.751044,810.907512
12,double,11500,11500,11500,3.750657,810.991145
12,double,12000,12000,12000,4.324146,799.233047
12,double,12000,12000,12000,4.324786,799.114728
12,double,12000,12000,12000,4.330419,798.075164
12,double,12000,12000,12000,4.318161,800.340787
12,double,12000,12000,12000,4.317926,800.384332
12,double,12000,12000,12000,4.325217,799.035144
12,double,12000,12000,12000,4.330387,798.081078
12,double,12500,12500,12500,4.901234,796.993219
12,double,12500,12500,12500,4.895335,797.953604
12,double,12500,12500,12500,4.890203,798.791001
12,double,12500,12500,12500,4.926264,792.943770
12,double,12500,12500,12500,4.906536,796.131955
12,double,12500,12500,12500,4.892399,798.432418
12,double,12500,12500,12500,4.898432,797.449134
12,double,13000,13000,13000,5.453114,805.778133
12,double,13000,13000,13000,5.454333,805.598027
12,double,13000,13000,13000,5.457099,805.189776
12,double,13000,13000,13000,5.465360,803.972706
12,double,13000,13000,13000,5.454679,805.546898
12,double,13000,13000,13000,5.458756,804.945260
