omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.016957,943.549609
12,float,2000,2000,2000,0.015953,1002.918556
12,float,2000,2000,2000,0.016498,969.809997
12,float,2000,2000,2000,0.016691,958.620660
12,float,2000,2000,2000,0.016446,972.901412
12,float,2000,2000,2000,0.016423,974.271677
12,float,2000,2000,2000,0.015988,1000.765773
12,float,2500,2500,2500,0.026449,1181.504185
12,float,2500,2500,2500,0.026562,1176.505136
12,float,2500,2500,2500,0.027264,1146.185740
12,float,2500,2500,2500,0.026817,1165.308154
12,float,2500,2500,2500,0.026840,1164.297374
12,float,2500,2500,2500,0.026771,1167.310219
12,float,2500,2500,2500,0.030416,1027.408700
12,float,3000,3000,3000,0.040946,1318.801766
12,float,3000,3000,3000,0.041115,1313.391574
12,float,3000,3000,3000,0.040840,1322.221450
12,float,3000,3000,3000,0.041657,1296.312162
12,float,3000,3000,3000,0.040997,1317.158176
12,float,3000,3000,3000,0.041186,1311.112120
12,float,3000,3000,3000,0.041071,1314.794632
12,float,3500,3500,3500,0.064291,1333.778808
12,float,3500,3500,3500,0.063401,1352.504118
12,float,3500,3500,3500,0.063547,1349.402942
12,float,3500,3500,3500,0.063654,1347.132897
12,float,3500,3500,3500,0.063287,1354.941460
12,float,3500,3500,3500,0.063541,1349.524416
12,float,3500,3500,3500,0.063310,1354.438352
12,float,4000,4000,4000,0.087900,1456.206158
12,float,4000,4000,4000,0.088646,1443.943333
12,float,4000,4000,4000,0.087820,1457.528303
12,float,4000,4000,4000,0.088166,1451.802340
12,float,4000,4000,4000,0.087841,1457.178676
12,float,4000,4000,4000,0.087653,1460.308712
12,float,4000,4000,4000,0.088125,1452.480621
12,float,4500,4500,4500,0.123350,1477.504501
12,float,4500,4500,4500,0.123688,1473.461217
12,float,4500,4500,4500,0.123422,1476.643534
12,float,4500,4500,4500,0.123004,1481.661337
12,float,4500,4500,4500,0.123089,1480.635530
12,float,4500,4500,4500,0.123194,1479.372290
12,float,4500,4500,4500,0.123675,1473.626286
12,float,5000,5000,5000,0.170261,1468.336489
12,float,5000,5000,5000,0.170139,1469.387193
12,float,5000,5000,5000,0.170641,1465.061961
12,float,5000,5000,5000,0.170599,1465.422071
12,float,5000,5000,5000,0.170454,1466.667505
12,float,5000,5000,5000,0.170574,1465.642777
12,float,5000,5000,5000,0.170405,1467.091190
12,float,5500,5500,5500,0.218516,1522.772324
12,float,5500,5500,5500,0.218554,1522.507511
12,float,5500,5500,5500,0.217911,1527.000928
12,float,5500,5500,5500,0.216999,1533.418879
12,float,5500,5500,5500,0.217678,1528.632872
12,float,5500,5500,5500,0.218375,1523.753725
12,float,5500,5500,5500,0.218279,1524.427439
12,float,6000,6000,6000,0.282335,1530.094943
12,float,6000,6000,6000,0.281520,1534.528789
12,float,6000,6000,6000,0.286043,1510.263520
12,float,6000,6000,6000,0.281801,1532.996678
12,float,6000,6000,6000,0.281853,1532.713073
12,float,6000,6000,6000,0.282100,1531.369721
12,float,6000,6000,6000,0.282884,1527.125573
12,float,6500,6500,6500,0.352167,1559.630784
12,float,6500,6500,6500,0.351554,1562.348285
12,float,6500,6500,6500,0.351311,1563.428704
12,float,6500,6500,6500,0.351622,1562.045846
12,float,6500,6500,6500,0.351958,1560.557578
12,float,6500,6500,6500,0.351676,1561.805607
12,float,6500,6500,6500,0.351322,1563.378440
12,float,7000,7000,7000,0.435095,1576.665382
12,float,7000,7000,7000,0.437294,1568.740388
12,float,7000,7000,7000,0.437938,1566.433098
12,float,7000,7000,7000,0.438745,1563.549798
12,float,7000,7000,7000,0.439143,1562.132633
12,float,7000,7000,7000,0.437157,1569.230535
12,float,7000,7000,7000,0.438850,1563.178137
12,float,7500,7500,7500,0.533579,1581.301535
12,float,7500,7500,7500,0.532299,1585.106281
12,float,7500,7500,7500,0.530673,1589.962291
12,float,7500,7500,7500,0.532792,1583.638863
12,float,7500,7500,7500,0.532494,1584.525473
12,float,7500,7500,7500,0.529388,1593.822818
12,float,7500,7500,7500,0.530971,1589.071096
12,float,8000,8000,8000,0.644475,1588.890347
12,float,8000,8000,8000,0.647005,1582.677753
12,float,8000,8000,8000,0.646092,1584.914766
12,float,8000,8000,8000,0.647319,1581.908956
12,float,8000,8000,8000,0.644118,1589.770480
12,float,8000,8000,8000,0.645347,1586.743802
12,float,8000,8000,8000,0.646830,1583.105599
12,float,8500,8500,8500,0.779174,1576.347823
12,float,8500,8500,8500,0.779999,1574.681060
12,float,8500,8500,8500,0.779455,1575.780685
12,float,8500,8500,8500,0.778191,1578.340198
12,float,8500,8500,8500,0.776720,1581.328367
