omp_threads,type,n,m,k,time,GFlops
12,float,2000,2000,2000,0.013880,1152.698803
12,float,2000,2000,2000,0.013800,1159.436757
12,float,2000,2000,2000,0.013520,1183.419086
12,float,2000,2000,2000,0.013465,1188.285642
12,float,2000,2000,2000,0.013960,1146.127290
12,float,2000,2000,2000,0.013716,1166.492021
12,float,2000,2000,2000,0.013521,1183.319747
12,float,2500,2500,2500,0.024338,1283.989830
12,float,2500,2500,2500,0.025108,1244.612620
12,float,2500,2500,2500,0.024275,1287.333283
12,float,2500,2500,2500,0.024556,1272.614202
12,float,2500,2500,2500,0.024582,1271.277007
12,float,2500,2500,2500,0.024900,1255.006875
12,float,2500,2500,2500,0.024289,1286.615852
12,float,3000,3000,3000,0.038155,1415.262087
12,float,3000,3000,3000,0.038575,1399.869112
12,float,3000,3000,3000,0.038749,1393.598233
12,float,3000,3000,3000,0.038898,1388.254498
12,float,3000,3000,3000,0.038511,1402.197503
12,float,3000,3000,3000,0.038987,1385.093562
12,float,3000,3000,3000,0.039006,1384.408717
12,float,3500,3500,3500,0.059401,1443.587747
12,float,3500,3500,3500,0.059222,1447.933673
12,float,3500,3500,3500,0.059320,1445.557214
12,float,3500,3500,3500,0.059133,1450.117456
12,float,3500,3500,3500,0.060029,1428.484161
12,float,3500,3500,3500,0.059041,1452.384337
12,float,3500,3500,3500,0.058963,1454.303454
12,float,4000,4000,4000,0.085901,1490.080175
12,float,4000,4000,4000,0.086076,1487.055530
12,float,4000,4000,4000,0.086565,1478.652754
12,float,4000,4000,4000,0.086293,1483.320937
12,float,4000,4000,4000,0.085801,1491.827026
12,float,4000,4000,4000,0.085982,1488.676493
12,float,4000,4000,4000,0.085541,1496.365976
12,float,4500,4500,4500,0.119937,1519.546610
12,float,4500,4500,4500,0.122039,1493.373502
12,float,4500,4500,4500,0.121920,1494.827908
12,float,4500,4500,4500,0.121473,1500.332370
12,float,4500,4500,4500,0.121518,1499.774293
12,float,4500,4500,4500,0.121889,1495.210012
12,float,4500,4500,4500,0.121574,1499.087457
12,float,5000,5000,5000,0.165703,1508.726334
12,float,5000,5000,5000,0.167373,1493.668917
12,float,5000,5000,5000,0.168459,1484.037033
12,float,5000,5000,5000,0.168934,1479.866739
12,float,5000,5000,5000,0.166927,1497.663408
12,float,5000,5000,5000,0.167776,1490.081632
12,float,5000,5000,5000,0.168023,1487.887881
12,float,5500,5500,5500,0.222000,1498.873563
12,float,5500,5500,5500,0.218289,1524.354119
12,float,5500,5500,5500,0.218161,1525.251463
12,float,5500,5500,5500,0.217056,1533.012417
12,float,5500,5500,5500,0.217381,1530.722099
12,float,5500,5500,5500,0.217626,1528.997979
12,float,5500,5500,5500,0.217929,1526.874819
12,float,6000,6000,6000,0.279886,1543.486235
12,float,6000,6000,6000,0.279213,1547.205287
12,float,6000,6000,6000,0.282922,1526.924952
12,float,6000,6000,6000,0.283950,1521.393192
12,float,6000,6000,6000,0.286259,1509.124713
12,float,6000,6000,6000,0.284083,1520.683080
12,float,6000,6000,6000,0.284457,1518.681742
12,float,6500,6500,6500,0.350652,1566.368018
12,float,6500,6500,6500,0.355548,1544.797036
12,float,6500,6500,6500,0.358539,1531.911819
12,float,6500,6500,6500,0.360560,1523.326881
12,float,6500,6500,6500,0.360218,1524.772487
12,float,6500,6500,6500,0.358355,1532.698763
12,float,6500,6500,6500,0.358991,1529.981171
12,float,7000,7000,7000,0.450034,1524.328348
12,float,7000,7000,7000,0.435310,1575.888230
12,float,7000,7000,7000,0.437065,1569.558857
12,float,7000,7000,7000,0.451095,1520.745302
12,float,7000,7000,7000,0.449301,1526.815817
12,float,7000,7000,7000,0.446687,1535.749269
12,float,7000,7000,7000,0.447472,1533.056269
12,float,7500,7500,7500,0.533695,1580.959956
12,float,7500,7500,7500,0.531541,1587.366120
12,float,7500,7500,7500,0.530272,1591.164901
12,float,7500,7500,7500,0.531728,1586.808299
12,float,7500,7500,7500,0.535473,1575.708381
12,float,7500,7500,7500,0.539279,1564.587644
12,float,7500,7500,7500,0.537127,1570.858834
12,float,8000,8000,8000,0.640732,1598.172562
12,float,8000,8000,8000,0.635152,1612.211596
12,float,8000,8000,8000,0.639369,1601.580259
12,float,8000,8000,8000,0.643078,1592.342963
12,float,8000,8000,8000,0.638718,1603.211375
12,float,8000,8000,8000,0.639720,1600.701310
12,float,8000,8000,8000,0.639795,1600.511761
12,float,8500,8500,8500,0.767606,1600.104893
12,float,8500,8500,8500,0.768318,1598.621504
12,float,8500,8500,8500,0.764918,1605.728210
12,float,8500,8500,8500,0.766420,1602.580320
12,float,8500,8500,8500,0.764786,1606.005531
